Jogador,ID_Jogador,Numero,Idade,Nacionalidade,No_plantel,Jogos,Gols,Assistencias,Cartoes_amarelos,Expulsoes_dois_amarelos,Expulsoes_vermelho_direto,Suplente_utilizado,Substituicoes,Pontos_por_jogo,Minutos_jogados,Identifier,Camp,Ano,Time
Alix,880217,37,22,,3,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Fortaleza EC
Emanuel Brítez,262851,19,30,,34,31,-,1,9,1,-,-,-,"1,48",2.762',BRA1_2023,BRA1,2023,Fortaleza EC
Brayan Ceballos,650863,-,21,,9,3,-,-,2,-,-,1,-,"0,67",205',BRA1_2023,BRA1,2023,Fortaleza EC
Bernardo Schappo,699679,14,23,,12,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Fortaleza EC
Gonzalo Escobar,440377,33,25,,22,13,-,1,4,-,-,7,1,"1,31",573',BRA1_2023,BRA1,2023,Fortaleza EC
Bruno Pacheco,435163,6,30,,35,31,2,3,5,-,-,1,5,"1,52",2.673',BRA1_2023,BRA1,2023,Fortaleza EC
Habraão,965630,28,21,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Fortaleza EC
Titi,55250,4,34,,34,32,-,1,11,-,-,-,4,"1,56",2.850',BRA1_2023,BRA1,2023,Fortaleza EC
Caio Alexandre,727751,8,23,,37,34,2,2,4,-,-,2,17,"1,47",2.638',BRA1_2023,BRA1,2023,Fortaleza EC
Tomás Pochettino,348354,7,26,,38,35,2,3,2,-,-,9,25,"1,43",2.006',BRA1_2023,BRA1,2023,Fortaleza EC
Hércules,982617,35,21,,14,13,1,-,1,-,-,4,9,"1,69",778',BRA1_2023,BRA1,2023,Fortaleza EC
Zanocelo,646404,25,21,,18,6,-,-,1,-,-,6,-,"1,17",75',BRA1_2023,BRA1,2023,Fortaleza EC
Zé Welison,323452,17,27,,35,26,1,2,9,-,-,6,10,"1,54",1.673',BRA1_2023,BRA1,2023,Fortaleza EC
Calebe,798114,27,22,,30,29,2,5,2,-,-,13,17,"1,34",1.485',BRA1_2023,BRA1,2023,Fortaleza EC
Pedro Augusto,594105,21,25,,22,14,-,-,2,-,-,8,4,"1,64",561',BRA1_2023,BRA1,2023,Fortaleza EC
Lucas Crispim,344626,10,28,,36,17,-,-,-,-,-,12,4,"0,94",483',BRA1_2023,BRA1,2023,Fortaleza EC
Kauan,1074479,-,17,,4,1,-,-,-,-,-,1,-,"0,00",10',BRA1_2023,BRA1,2023,Fortaleza EC
Ronald,688684,-,25,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Fortaleza EC
Lucas Sasha,121986,88,32,,37,19,-,1,3,-,-,9,3,"1,68",1.010',BRA1_2023,BRA1,2023,Fortaleza EC
Sammuel,792652,26,20,,2,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Fortaleza EC
Amorim,1082774,31,17,,4,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Fortaleza EC
Júnior Santos,592347,-,27,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Fortaleza EC
Imanol Machuca,829968,39,22,,21,16,2,-,4,-,-,10,5,"1,06",676',BRA1_2023,BRA1,2023,Fortaleza EC
Moisés,788361,-,25,,6,6,3,-,1,-,-,1,5,"1,83",371',BRA1_2023,BRA1,2023,Fortaleza EC
Gustavo Coutinho,612340,-,23,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Fortaleza EC
Juan Martín Lucero,162807,9,30,,32,31,9,-,2,-,-,8,13,"1,32",2.074',BRA1_2023,BRA1,2023,Fortaleza EC
Guilherme,444920,29,27,,34,30,3,3,3,-,-,14,14,"1,70",1.412',BRA1_2023,BRA1,2023,Fortaleza EC
Pedro Rocha,362844,32,27,,10,3,-,-,1,-,-,3,-,"0,67",32',BRA1_2023,BRA1,2023,Fortaleza EC
Romarinho,267849,11,28,,22,11,-,-,-,-,-,9,1,"0,91",282',BRA1_2023,BRA1,2023,Fortaleza EC
Yago Pikachu,265660,22,30,,37,37,7,1,5,-,-,21,10,"1,46",1.741',BRA1_2023,BRA1,2023,Fortaleza EC
Marinho,74758,12,32,,21,21,2,1,5,-,-,6,13,"1,29",1.151',BRA1_2023,BRA1,2023,Fortaleza EC
Thiago Galhardo,186399,91,32,,33,33,5,4,6,-,-,13,14,"1,42",1.878',BRA1_2023,BRA1,2023,Fortaleza EC
Silvio Romero,88082,18,33,,36,17,2,1,2,-,-,14,3,"1,41",389',BRA1_2023,BRA1,2023,Fortaleza EC
Tadeu,258367,23,29,,38,38,-,-,-,-,-,-,-,"1,21",3.420',BRA1_2022,BRA1,2022,Goiás EC
Márcio Victor,593001,-,20,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Goiás EC
Luis Felype,863120,-,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Goiás EC
Marcelo Rangel,412610,88,33,,13,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Goiás EC
Matheus Alves,363772,94,26,,28,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Goiás EC
Lucas Halter,468302,-,21,,19,15,-,-,2,-,-,3,1,"1,27",1.072',BRA1_2022,BRA1,2022,Goiás EC
Caetano,625345,4,22,,27,26,1,-,1,-,-,-,4,"1,54",2.214',BRA1_2022,BRA1,2022,Goiás EC
Hugo,730708,66,23,,20,15,-,-,3,-,-,8,5,"0,80",699',BRA1_2022,BRA1,2022,Goiás EC
Dieguinho,548846,20,25,,34,34,2,5,4,-,-,-,12,"1,12",2.904',BRA1_2022,BRA1,2022,Goiás EC
Reynaldo,514297,29,24,,32,32,-,-,4,-,-,-,5,"1,19",2.750',BRA1_2022,BRA1,2022,Goiás EC
Yan Souto,979629,13,19,,22,8,1,-,3,-,-,1,1,"1,00",610',BRA1_2022,BRA1,2022,Goiás EC
Juan Tavares,933879,37,19,,12,4,-,-,-,-,-,1,3,"2,25",174',BRA1_2022,BRA1,2022,Goiás EC
Danilo Barcelos,271666,14,29,,34,22,-,1,8,-,-,12,5,"1,18",1.025',BRA1_2022,BRA1,2022,Goiás EC
Sidimar,129119,34,28,,11,5,-,-,-,-,-,-,-,"2,00",450',BRA1_2022,BRA1,2022,Goiás EC
Maguinho,350766,2,29,,33,31,-,-,10,-,-,9,4,"1,13",1.937',BRA1_2022,BRA1,2022,Goiás EC
Sávio,607093,-,26,,11,11,-,1,4,1,-,-,5,"1,09",854',BRA1_2022,BRA1,2022,Goiás EC
Sidnei,27374,12,31,,8,4,-,-,1,-,-,-,2,"1,00",295',BRA1_2022,BRA1,2022,Goiás EC
Iago Mendonça,678992,-,21,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Goiás EC
Douglas Pelé,868085,-,21,,7,2,-,-,-,-,-,1,1,"1,50",90',BRA1_2022,BRA1,2022,Goiás EC
Danilo Cardoso,870414,-,24,,16,5,1,-,-,-,-,4,-,"2,20",235',BRA1_2022,BRA1,2022,Goiás EC
Artur,296903,-,26,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Goiás EC
Éverson,468253,-,23,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Goiás EC
Da Silva,863104,3,20,,13,7,1,-,3,-,-,1,1,"0,57",567',BRA1_2022,BRA1,2022,Goiás EC
Xavier,989591,-,17,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Goiás EC
Guilherme,989597,-,17,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Goiás EC
Caio Vinicius,565443,15,22,,30,27,-,-,7,-,1,9,12,"1,37",1.567',BRA1_2022,BRA1,2022,Goiás EC
Matheus Sales,407654,36,26,,35,31,-,-,5,-,-,10,14,"1,32",1.797',BRA1_2022,BRA1,2022,Goiás EC
Miguel Ferreira,596527,-,21,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Goiás EC
Luan Dias,739218,99,23,,24,22,-,-,7,-,-,15,7,"0,91",761',BRA1_2022,BRA1,2022,Goiás EC
Marquinhos Gabriel,100091,-,30,,13,12,1,2,1,-,-,3,9,"1,00",762',BRA1_2022,BRA1,2022,Goiás EC
Élvis,76135,10,30,,14,13,4,2,4,-,-,2,9,"1,15",853',BRA1_2022,BRA1,2022,Goiás EC
Marco Antônio,371997,-,20,,7,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Goiás EC
Auremir,151505,5,29,,35,25,-,-,5,-,-,6,16,"1,28",1.488',BRA1_2022,BRA1,2022,Goiás EC
Daniel de Pauli,801817,-,21,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Goiás EC
Nathan Melo,880248,26,20,,10,1,-,-,-,-,-,1,-,"0,00",2',BRA1_2022,BRA1,2022,Goiás EC
Albano,530413,-,24,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Goiás EC
Lincon,989592,-,19,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Goiás EC
Danilo Batista,1008105,-,19,,2,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Goiás EC
Fellipe Bastos,31127,8,31,,34,25,-,1,10,-,1,18,5,"1,12",857',BRA1_2022,BRA1,2022,Goiás EC
Henrique Lordelo,800848,55,21,,19,5,-,-,-,1,-,3,1,"1,40",122',BRA1_2022,BRA1,2022,Goiás EC
Pablo,989598,-,18,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Goiás EC
Pedro Raul,547443,11,24,,34,34,19,2,8,-,-,1,16,"1,32",2.759',BRA1_2022,BRA1,2022,Goiás EC
Renato Júnior,796726,19,19,,32,17,-,1,4,-,-,14,2,"0,94",486',BRA1_2022,BRA1,2022,Goiás EC
Vinícius,146020,7,27,,25,25,2,4,1,-,-,3,11,"1,44",1.957',BRA1_2022,BRA1,2022,Goiás EC
Breno Herculano,978480,-,22,,5,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Goiás EC
Pedrinho,1022057,-,17,,23,13,-,1,1,-,-,13,-,"0,69",283',BRA1_2022,BRA1,2022,Goiás EC
Matheusinho,688773,98,22,,5,1,-,-,-,-,-,-,1,"3,00",9',BRA1_2022,BRA1,2022,Goiás EC
Nicolas,186408,9,31,,31,29,5,2,-,-,-,23,1,"1,24",977',BRA1_2022,BRA1,2022,Goiás EC
Apodi,59930,22,34,,23,18,1,1,3,-,-,8,9,"1,44",909',BRA1_2022,BRA1,2022,Goiás EC
Pedro Bahia,880256,17,19,,3,1,-,-,-,-,-,1,-,"1,00",26',BRA1_2022,BRA1,2022,Goiás EC
Eduardo,843368,-,21,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Goiás EC
Vitor Hugo,989599,-,17,,3,1,-,-,-,-,-,1,-,"0,00",1',BRA1_2022,BRA1,2022,Goiás EC
Dadá Belmonte,546253,27,24,,33,33,2,6,8,1,-,3,16,"1,33",2.523',BRA1_2022,BRA1,2022,Goiás EC
Luiz Filipe,837534,30,20,,3,2,-,-,1,-,-,2,-,"0,00",30',BRA1_2022,BRA1,2022,Goiás EC
Luan,192318,33,30,,3,2,-,-,1,-,-,2,-,"0,50",46',BRA1_2022,BRA1,2022,Goiás EC
Reginaldo,989593,97,18,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Goiás EC
Tadeu,258367,23,30,,35,35,-,1,1,-,-,-,-,"1,00",3.150',BRA1_2023,BRA1,2023,Goiás EC
Ezequiel Oliveira,689579,29,19,,5,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Goiás EC
Matheus Alves,363772,21,27,,5,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Goiás EC
Marcelo Rangel,412610,88,34,,35,3,-,-,-,-,-,-,-,"1,00",270',BRA1_2023,BRA1,2023,Goiás EC
Lucas Halter,468302,3,22,,30,30,3,-,8,-,2,-,2,"1,10",2.584',BRA1_2023,BRA1,2023,Goiás EC
Hugo,730708,66,24,,31,19,1,1,2,-,-,3,5,"1,21",1.420',BRA1_2023,BRA1,2023,Goiás EC
Dieguinho,548846,20,26,,15,15,-,1,3,-,-,3,4,"0,67",1.081',BRA1_2023,BRA1,2023,Goiás EC
Edu Ribeiro,371250,43,22,,28,9,-,-,1,-,-,5,-,"1,22",431',BRA1_2023,BRA1,2023,Goiás EC
Yan Souto,979629,-,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Goiás EC
Heron,697401,-,21,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Goiás EC
Bruno Santos,333633,13,29,,24,8,-,-,3,-,-,4,2,"0,75",454',BRA1_2023,BRA1,2023,Goiás EC
Bruno Melo,538230,19,29,,33,33,2,1,10,-,-,1,1,"0,97",2.891',BRA1_2023,BRA1,2023,Goiás EC
Sidimar,129119,4,29,,34,18,-,-,2,-,-,6,3,"1,17",1.005',BRA1_2023,BRA1,2023,Goiás EC
Maguinho,350766,2,30,,34,34,2,-,7,2,-,-,8,"1,09",2.866',BRA1_2023,BRA1,2023,Goiás EC
Sander,353722,6,31,,24,21,-,3,1,-,-,4,2,"0,81",1.540',BRA1_2023,BRA1,2023,Goiás EC
Mina,1074478,-,19,,8,1,-,-,-,-,-,1,-,"3,00",45',BRA1_2023,BRA1,2023,Goiás EC
Daniel Nolasco,1092622,-,17,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Goiás EC
Eduardo Thuram,737098,-,24,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Goiás EC
Da Silva,863104,-,21,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Goiás EC
Xavier,989591,-,18,,2,1,-,-,-,-,-,1,-,"3,00",58',BRA1_2023,BRA1,2023,Goiás EC
Meritão,646432,-,28,,19,8,-,-,-,-,-,6,2,"2,00",220',BRA1_2023,BRA1,2023,Goiás EC
Felipe,508930,15,28,,2,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Goiás EC
Willian Oliveira,252900,12,29,,35,31,-,-,7,-,-,3,13,"1,06",2.200',BRA1_2023,BRA1,2023,Goiás EC
Dodô,978117,95,21,,33,15,2,-,1,-,-,15,-,"0,80",310',BRA1_2023,BRA1,2023,Goiás EC
Luís Oyama,555277,55,25,,24,9,1,-,1,-,-,4,3,"0,67",562',BRA1_2023,BRA1,2023,Goiás EC
Guilherme,139607,60,31,,31,30,6,6,7,-,1,5,21,"1,00",1.873',BRA1_2023,BRA1,2023,Goiás EC
Raphael Guzzo,197880,5,27,,20,14,1,-,2,1,-,9,4,"0,86",572',BRA1_2023,BRA1,2023,Goiás EC
Julián Palacios,728262,10,23,,29,27,1,1,7,-,-,8,15,"0,70",1.640',BRA1_2023,BRA1,2023,Goiás EC
Zé Ricardo,600549,-,23,,13,13,-,1,5,-,-,-,6,"0,85",1.075',BRA1_2023,BRA1,2023,Goiás EC
Everton Morelli,525256,40,24,,32,32,3,-,6,-,-,2,11,"1,06",2.593',BRA1_2023,BRA1,2023,Goiás EC
Marquinhos Gabriel,100091,-,31,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Goiás EC
Jhonny Lucas,540990,-,22,,6,2,-,-,1,-,-,2,-,"1,50",15',BRA1_2023,BRA1,2023,Goiás EC
Eduardo Simioni,1074483,-,19,,3,1,-,-,1,-,-,1,-,"3,00",45',BRA1_2023,BRA1,2023,Goiás EC
Carlos Maia,977534,-,21,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Goiás EC
Nathan Melo,880248,26,21,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Goiás EC
João Paulo,863127,-,19,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Goiás EC
Fellipe Bastos,31127,8,32,,11,1,-,-,1,-,-,1,-,"0,00",35',BRA1_2023,BRA1,2023,Goiás EC
Matheus Peixoto,518361,17,26,,15,14,2,1,2,-,-,2,9,"0,86",908',BRA1_2023,BRA1,2023,Goiás EC
Gabriel Novaes,649055,99,23,,4,3,-,-,-,-,-,2,1,"0,33",94',BRA1_2023,BRA1,2023,Goiás EC
Alesson,480225,27,23,,35,23,2,1,3,-,-,20,3,"0,61",639',BRA1_2023,BRA1,2023,Goiás EC
Anderson Oliveira,594550,70,23,,21,20,-,2,1,-,-,2,15,"1,10",1.301',BRA1_2023,BRA1,2023,Goiás EC
Vinícius,146020,7,28,,27,23,-,2,1,-,-,10,9,"0,96",1.172',BRA1_2023,BRA1,2023,Goiás EC
Breno Herculano,978480,25,23,,4,3,-,-,-,-,-,3,-,"0,00",76',BRA1_2023,BRA1,2023,Goiás EC
Fernandinho,442818,-,24,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Goiás EC
Matheus Babi,788861,9,24,,20,17,4,-,5,-,-,9,4,"1,06",877',BRA1_2023,BRA1,2023,Goiás EC
Diego Gonçalves,405720,11,27,,25,10,-,-,1,-,-,6,4,"1,00",353',BRA1_2023,BRA1,2023,Goiás EC
Pedrinho,1022057,-,18,,5,4,-,-,-,-,-,2,1,"1,50",194',BRA1_2023,BRA1,2023,Goiás EC
João Magno,595013,45,25,,20,19,3,1,2,-,-,6,11,"1,21",989',BRA1_2023,BRA1,2023,Goiás EC
Allano,376441,77,27,,19,19,1,-,5,-,-,4,12,"1,26",1.245',BRA1_2023,BRA1,2023,Goiás EC
Matheusinho,688773,30,23,,9,6,-,-,1,-,-,5,1,"1,17",170',BRA1_2023,BRA1,2023,Goiás EC
Nicolas,186408,-,32,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Goiás EC
Denzel,1022927,-,19,,2,1,-,-,-,-,-,1,-,"1,00",24',BRA1_2023,BRA1,2023,Goiás EC
Apodi,59930,22,35,,33,13,1,-,3,-,-,11,2,"0,62",372',BRA1_2023,BRA1,2023,Goiás EC
Halerrandrio,1092628,-,15,,1,1,-,-,-,-,-,1,-,"3,00",28',BRA1_2023,BRA1,2023,Goiás EC
Wendell,1074482,-,18,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Goiás EC
Luiz Filipe,837534,14,21,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Goiás EC
Ariel,980864,18,23,,6,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Goiás EC
Lucas Emmanuel,863119,79,22,,5,2,-,-,-,-,-,2,-,"1,50",53',BRA1_2023,BRA1,2023,Goiás EC
Philippe Costa,585347,90,22,,7,4,-,-,-,-,-,4,-,"0,25",106',BRA1_2023,BRA1,2023,Goiás EC
Adriel,808445,-,21,,8,2,-,-,1,-,-,-,-,"3,00",180',BRA1_2023,BRA1,2023,Grêmio FBPA
Caíque,384159,31,24,,19,4,-,-,-,-,-,-,-,"3,00",360',BRA1_2023,BRA1,2023,Grêmio FBPA
Brenno,555016,1,23,,8,1,-,-,-,-,-,-,-,"3,00",90',BRA1_2023,BRA1,2023,Grêmio FBPA
Gabriel Grando,878037,12,22,,36,31,-,-,5,-,-,-,-,"1,52",2.790',BRA1_2023,BRA1,2023,Grêmio FBPA
Felipe Scheibig,896667,41,22,,7,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Grêmio FBPA
Cuiabano,891353,54,19,,25,11,1,-,3,-,-,6,2,"2,27",485',BRA1_2023,BRA1,2023,Grêmio FBPA
João Pedro,342024,18,25,,30,29,3,1,1,-,-,6,6,"1,83",2.076',BRA1_2023,BRA1,2023,Grêmio FBPA
Gustavo Martins,874223,53,19,,27,17,1,-,5,-,-,12,-,"1,76",680',BRA1_2023,BRA1,2023,Grêmio FBPA
Rodrigo Ely,176140,5,28,,11,9,-,-,4,-,-,1,2,"2,11",665',BRA1_2023,BRA1,2023,Grêmio FBPA
Natã,978004,36,21,,19,2,-,-,1,-,-,2,-,"3,00",14',BRA1_2023,BRA1,2023,Grêmio FBPA
Walter Kannemann,145400,4,31,,28,28,-,1,15,1,-,-,7,"1,71",2.367',BRA1_2023,BRA1,2023,Grêmio FBPA
Zé Guilherme,1084816,-,17,,3,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Grêmio FBPA
Reinaldo,225617,22,32,,31,30,2,6,9,1,1,-,1,"1,90",2.684',BRA1_2023,BRA1,2023,Grêmio FBPA
Diogo Barbosa,167724,6,29,,7,6,-,-,1,-,-,2,-,"2,17",384',BRA1_2023,BRA1,2023,Grêmio FBPA
Bruno Alves,177534,34,31,,35,29,-,-,3,-,1,2,1,"1,86",2.450',BRA1_2023,BRA1,2023,Grêmio FBPA
Bruno Uvini,147396,15,31,,34,20,1,-,4,-,-,4,3,"1,90",1.446',BRA1_2023,BRA1,2023,Grêmio FBPA
Thomas Luciano,869063,58,20,,8,6,-,-,-,-,-,3,2,"1,83",312',BRA1_2023,BRA1,2023,Grêmio FBPA
Wesley Costa,1082969,-,18,,8,1,-,-,-,-,-,-,-,"0,00",90',BRA1_2023,BRA1,2023,Grêmio FBPA
Fábio,61891,2,31,,26,15,-,2,5,-,-,3,11,"1,80",878',BRA1_2023,BRA1,2023,Grêmio FBPA
Pedro Geromel,32568,3,36,,7,7,-,-,2,-,-,1,2,"1,86",469',BRA1_2023,BRA1,2023,Grêmio FBPA
Viery,950393,44,17,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Grêmio FBPA
João Ramos,997469,43,19,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Grêmio FBPA
Bitello,703497,39,22,,19,19,4,1,1,-,-,1,8,"1,74",1.557',BRA1_2023,BRA1,2023,Grêmio FBPA
Franco Cristaldo,332259,19,25,,35,34,8,5,-,-,-,3,31,"1,79",2.155',BRA1_2023,BRA1,2023,Grêmio FBPA
Mathías Villasanti,436385,20,25,,30,30,4,6,6,1,-,-,2,"2,00",2.646',BRA1_2023,BRA1,2023,Grêmio FBPA
Felipe Carballo,394930,8,25,,23,22,1,1,3,-,-,1,16,"1,68",1.551',BRA1_2023,BRA1,2023,Grêmio FBPA
Pepê,606716,23,24,,18,18,1,1,1,-,-,2,8,"1,83",1.405',BRA1_2023,BRA1,2023,Grêmio FBPA
Thaciano,392487,28,27,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Grêmio FBPA
Ronald,959092,35,19,,19,10,1,-,1,-,-,5,4,"2,00",416',BRA1_2023,BRA1,2023,Grêmio FBPA
Pedro Lucas,718208,14,19,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Grêmio FBPA
Nathan,294798,7,26,,30,20,1,1,3,-,-,13,7,"1,30",676',BRA1_2023,BRA1,2023,Grêmio FBPA
Gabriel Silva,983109,59,19,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Grêmio FBPA
Isaque,627099,-,25,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Grêmio FBPA
Darlan,570582,37,24,,7,1,-,-,1,-,-,1,-,"3,00",45',BRA1_2023,BRA1,2023,Grêmio FBPA
Lucas Silva,218118,16,29,,9,4,-,-,-,-,-,1,3,"1,75",223',BRA1_2023,BRA1,2023,Grêmio FBPA
Gustavinho,800649,17,20,,16,2,-,-,-,-,-,2,-,"0,00",31',BRA1_2023,BRA1,2023,Grêmio FBPA
